,Contaminante,Fecha,aqip_median,cdmx_median
4524,PM25,2020-01-24,14.00204081632653,16.333333333333332
4525,PM25,2020-01-27,12.0,14.714285714285715
4526,PM25,2020-02-22,18.757142857142856,20.479166666666664
4527,PM25,2020-04-01,26.84081632653061,26.79166666666667
4528,PM25,2020-04-23,21.13469387755102,21.291666666666668
4529,PM25,2020-01-08,23.03673469387755,28.20833333333333
4530,PM25,2020-02-26,16.855102040816327,18.25757575757576
4531,PM25,2020-03-14,20.183673469387763,18.666666666666668
4532,PM25,2020-03-17,17.80612244897959,18.83333333333333
4533,PM25,2020-03-28,25.88979591836735,25.625
4534,PM25,2020-03-29,29.218367346938773,29.270833333333336
4535,PM25,2020-02-01,18.757142857142856,22.625
4536,PM25,2020-02-24,18.757142857142856,19.125
4537,PM25,2020-03-12,22.085714285714282,21.23674242424243
4538,PM25,2020-02-21,15.90408163265306,14.954545454545455
